Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,767518723,9846.875988188081,167628,2.150582231657159,228,6947192,89.12895026553291,1033,0.013252866139916025,5,
United States of America,Americas,103436829,31249.547,0,0,0,1127152,340.527,0,0,0
China,Western Pacific,99289096,6748.452,3650,0.248,0,121465,8.256,74,0.005,0
India,South-East Asia,44994097,3260.431,426,0.031,98,531905,38.544,7,0.001,2
France,Europe,38989382,59947.365,0,0,0,167923,258.187,0,0,0
Germany,Europe,38431910,46210.689,0,0,0,174555,209.886,0,0,0
Brazil,Americas,37656050,17715.541,16726,7.869,0,703719,331.069,320,0.151,0
Japan,Western Pacific,33803572,26727.165,0,0,0,74694,59.058,0,0,0
Republic of Korea,Western Pacific,32131606,62672.356,113120,220.639,0,35017,68.3,57,0.111,0
Italy,Europe,25893101,43414.579,1575,2.641,0,190782,319.881,18,0.03,0
The United Kingdom,Europe,24636637,36291.188,244,0.359,0,227524,335.156,0,0,0
Russian Federation,Europe,22959198,15732.54,5789,3.967,0,399563,273.796,127,0.087,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13970616,29515.834,0,0,0,121724,257.167,0,0,0
Viet Nam,Western Pacific,11620076,11937.791,488,0.501,0,43206,44.387,0,0,0
Australia,Western Pacific,11495207,45079.448,0,0,0,21685,85.04,0,0,0
Argentina,Americas,10044957,22225.434,0,0,0,130472,288.682,0,0,0
Netherlands,Europe,8616031,49495.843,0,0,0,22986,132.046,0,0,0
Mexico,Americas,7633340,5920.404,2116,1.641,0,334336,259.31,20,0.016,0
Iran (Islamic Republic of),Eastern Mediterranean,7612414,9063.158,62,0.074,0,146292,174.172,1,0.001,0
